,country,Score,sunshine,temperature,GDP,population,christianity_all,judaism_all,islam_all
0,Finland,7.632,154.83333333333334,6.975225988700568,275580448365.235,5515525.0,4258941,1277,24245
1,Norway,7.594,114.44444444444444,7.1742655367231585,436999692591.454,5311916.0,4103723,823,99500
2,Denmark,7.555,161.05555555555557,10.165677966101692,356841216410.068,5793636.0,4527237,2153,222000
3,Iceland,7.495,110.58333333333333,5.158361581920905,26267063757.5495,352721.0,290063,0,1589
4,Switzerland,7.487,161.04166666666666,11.084745762711856,735539301552.674,8514329.0,6303993,17500,322000
5,Netherlands,7.441,138.58333333333334,11.529957627118636,913597086062.599,17231624.0,9626041,25700,963526
6,Canada,7.328,169.0175925925926,6.7458725674827456,1725329192783.02,37065084.0,26431104,340304,670000
7,New Zealand,7.324,162.82916666666668,14.866807909604512,212225726657.864,4900600.0,2361557,4696,48943
8,Sweden,7.314,148.54166666666666,8.51001412429379,555455371487.089,10175214.0,7133814,19781,562741
9,Australia,7.272,236.975,16.806908797417275,1428529571351.06,24982688.0,13150670,97335,476290
10,United Kingdom,7.19,127.625,10.65459981167609,2900791442554.06,66460344.0,38957273,263000,2700000
11,Austria,7.139,157.08333333333334,12.3269209039548,454945881027.378,8840521.0,6124531,8298,398571
12,Ireland,6.977,121.16666666666667,10.358728813559326,384853685231.018,4867316.0,4150307,1984,25700
13,Germany,6.965,137.04166666666666,11.599951977401126,3975347237442.99,82905782.0,57827992,119000,4000000
14,Belgium,6.927,128.83333333333334,11.766544256120522,543008499294.079,11427054.0,7526165,30000,543818
15,Luxembourg,6.91,136.16666666666666,11.08319209039549,71250208995.6425,607950.0,460637,600,10139
16,Israel,6.814,275.9166666666667,21.451224105461385,373641241440.789,8882800.0,152400,5573299,1524000
17,Malta,6.627,254.5,19.908107344632768,14864712990.1631,484630.0,401633,60,4122
18,France,6.489,180.55555555555554,14.233349475383376,2789593979064.58,67101930.0,44023361,480000,4950000
19,Mexico,6.488,216.3125,20.69024228596262,1222408203104.3,126190782.0,108811290,67476,3760
20,Chile,6.476,236.81499999999997,13.369237288135595,297571693064.193,18729166.0,15587652,20664,4500
21,Panama,6.43,145.29166666666666,26.34420903954803,64929409212.4566,4176868.0,4166894,6590,13181
22,Brazil,6.419,186.46515151515152,23.500582627118643,1916933708381.89,209469320.0,168313010,107000,35167
23,Argentina,6.388,185.025,16.8070379338176,524819742918.669,44494502.0,34400709,275000,611000
24,Uruguay,6.379,206.78333333333333,17.024435028248597,64515038268.1373,3449290.0,2746709,10070,1015
25,Saudi Arabia,6.371,269.7083333333333,27.658593848085374,786521831573.333,33702757.0,782723,0,24477606
26,Singapore,6.343,168.53333333333333,27.231440677966116,375981539145.907,5638676.0,930663,300,727000
27,Spain,6.31,233.1833333333333,16.712453591606135,1420300232663.59,46797754.0,37121529,12000,1400000
28,Colombia,6.26,161.02291666666667,22.237275580665393,334198214706.209,49661056.0,44910647,8095,27740
29,El Salvador,6.167,246.41666666666666,26.12714689265536,26020850000.0,6420740.0,6209779,648,2027
30,Nicaragua,6.141,229.99166666666665,27.545,13025239912.2751,6465502.0,5242544,0,1602
31,Poland,6.123,130.91666666666666,10.55356638418079,587411745161.558,37974750.0,34539629,1600,5100
32,Uzbekistan,6.096,235.32500000000002,15.217593220338976,52633143808.1824,32956100.0,1408027,4200,26189329
33,Thailand,6.072,181.2520833333333,28.629293785310725,506611070188.362,69428454.0,403998,200,6733346
34,Italy,6.0,197.45833333333334,16.35371311989956,2090910879119.33,60421760.0,48018881,39000,700000
35,Ecuador,5.973,159.1291666666667,19.284039548022612,107562008000.0,17084359.0,12830327,1000,1500
36,Lithuania,5.952,140.91666666666666,8.118192090395478,53724663842.5623,2801543.0,2755107,6000,2727
37,Slovenia,5.948,164.58333333333334,11.375536723163842,54137142149.4799,2073894.0,1375987,205,61611
38,Romania,5.945,176.25,12.85169491525424,241457403085.042,19473970.0,20899522,9500,85000
39,Latvia,5.933,146.25,8.506723163841809,34412210812.2783,1927174.0,1772369,6000,320
40,Japan,5.915,152.81666666666666,16.363239990174414,5036891740656.35,126529100.0,2499998,1000,195001
41,Kazakhstan,5.79,202.625,4.573587570621472,179339994859.384,18276452.0,4731595,3300,9678983
42,Cyprus,5.762,276.175,21.99209039548025,25522671232.8767,1189262.0,606674,147,164999
43,Bolivia,5.752,190.86666666666665,14.458947740113006,40287647930.4761,11353140.0,9720100,350,1031
44,Estonia,5.739,165.5,7.396610169491516,30474612057.4484,1321977.0,380141,1700,2000
45,Paraguay,5.681,233.58333333333334,22.72039548022599,40225448340.6322,6956069.0,6138983,3208,3873
46,Peru,5.663,190.13750000000005,17.92741242937853,222574697255.522,31989265.0,27579681,3000,6000
47,Moldova,5.64,177.16666666666666,11.289774011299437,11456728401.3069,2708214.0,2925500,3900,128238
48,Hungary,5.62,160.66666666666666,12.371864406779666,160586833778.457,9775564.0,6669095,10965,4500
49,Libya,5.566,264.84166666666664,21.400946327683613,52607888717.9487,6678565.0,195273,0,6310833
50,Philippines,5.524,175.25833333333333,27.030787821720047,346842094174.513,106651394.0,84493445,300,5113771
51,Honduras,5.504,188.3166666666667,23.1210451977401,23900438563.7271,9587523.0,7121814,397,397
52,Belarus,5.483,150.58333333333334,7.773107344632773,60031262269.3365,9438785.0,5394257,12000,19000
53,Turkey,5.483,194.4416666666667,16.644178617992164,778471901665.148,82340090.0,320277,15000,75699756
54,Pakistan,5.472,259.31805555555553,23.52385122410545,314567541558.339,212228288.0,2863590,0,161189415
55,Portugal,5.41,230.8611111111111,15.323465160075333,242194788533.537,10283822.0,9123319,3192,90987
56,Greece,5.358,231.08333333333334,17.92521186440678,211945897765.431,10732882.0,10682948,5648,272000
57,Montenegro,5.347,206.83333333333334,14.53997175141243,5504166666.66667,622227.0,478002,0,120289
58,Croatia,5.321,189.375,12.970197740112983,62247874948.8225,4087843.0,4042145,553,65023
59,Algeria,5.295,272.83750000000003,18.095951035781546,174910878623.049,42228415.0,285330,0,35309660
60,Morocco,5.254,262.9555555555556,18.147231638418084,118096227400.092,36029089.0,317760,6000,31430015
61,China,5.246,169.54722222222222,15.677181261770242,13894817549380.3,1402760000.0,78030424,2579,33629356
62,Azerbaijan,5.201,183.95000000000005,16.294576271186436,47112941176.4706,9939771.0,218200,8000,8595234
63,Nigeria,5.155,222.1233333333333,26.37658615819209,397190484464.308,195874685.0,64726375,100,78284656
64,Mongolia,5.125,232.875,-0.2521186440677953,13178094459.4548,3170214.0,53170,0,82380
65,Vietnam,5.103,176.9375,26.402730696798486,245213686369.157,95545959.0,8004439,0,93736
66,Indonesia,5.093,210.13750000000005,26.19937339496662,1042271531011.99,267670549.0,25444526,0,201550000
67,Somalia,4.982,258.5833333333333,26.363531073446328,5850677295.69858,15008225.0,4333,0,9283692
68,Cameroon,4.975,180.42708333333334,25.2965395480226,39973839064.6084,25216261.0,9868484,0,4265362
69,Bulgaria,4.933,181.5,10.249858757062153,66363422450.2112,7025037.0,6206119,2000,972000
70,Gabon,4.758,143.35,26.204830508474586,16867325126.5423,2119275.0,1047752,0,210332
71,South Africa,4.724,261.78472222222223,17.73657878217199,404842116738.074,57792520.0,40488807,81536,845000
72,Ghana,4.657,197.29444444444445,26.589590395480236,67299280679.563,29767108.0,16879326,0,4223515
73,Senegal,4.631,262.2083333333333,23.15019774011301,23116699808.1723,15854324.0,421345,0,11346069
74,Tunisia,4.592,254.1625,19.51225988700566,42570270107.1147,11565203.0,37346,1500,10443506
75,Albania,4.586,212.0,15.642881355932213,15156432309.8977,2866376.0,685221,0,2013180
76,Bangladesh,4.5,172.16666666666666,25.992499999999993,274038973437.275,161376713.0,294580,177,132119746
77,Iraq,4.456,270.06666666666666,23.85185812931574,227367469034.031,38433604.0,600000,0,30210000
78,Mali,4.447,258.34722222222223,28.360395480225982,17070866299.0945,19077755.0,407068,0,12754822
79,Namibia,4.441,310.5416666666667,19.32141242937855,13682062249.2236,2448300.0,1865944,2466,10200
80,Burkina Faso,4.424,267.4166666666667,29.095593220338962,15890065019.7634,19751466.0,4574351,0,9023117
81,Mozambique,4.417,236.5,22.98327683615818,14845870050.7092,29496009.0,10340024,218,5320442
82,Kenya,4.41,252.50208333333333,22.67988700564971,92202956320.532,51392570.0,32402646,1300,4198090
83,Zambia,4.377,247.12222222222226,21.415141242937867,26311590296.7021,17351714.0,11344499,1682,71124
84,Mauritania,4.356,277.6666666666667,24.578474576271173,7354430040.11966,4403312.0,8718,0,3212166
85,Ethiopia,4.35,235.94583333333333,15.658870056497172,84269348327.3454,109224410.0,50654152,4500,28332765
86,Georgia,4.34,170.5,12.246129943502812,17599700090.762,3726549.0,3553010,12000,440787
87,Armenia,4.321,206.16666666666666,12.235677966101694,12457941907.0333,2951741.0,3086654,565,1000
88,Chad,4.301,279.43333333333334,29.387909604519773,11239167048.4916,15477727.0,3909470,0,6347232
89,India,4.19,209.7516666666667,26.22080442780189,2701111782775.03,1352642283.0,27973830,5000,160130000
90,Niger,4.166,266.71666666666664,29.750395480225997,12808660528.0617,22442831.0,584548,0,13714412
91,Uganda,4.161,192.0,22.09361581920905,32927025573.4296,42729032.0,25921856,2000,3734278
92,Benin,4.141,219.20277777777775,26.933488700564993,14262407011.5254,11485035.0,3514394,0,2325715
93,Sudan,4.139,296.375,30.128262711864377,30964349684.7059,41801532.0,2867533,0,28488914
94,Ukraine,4.103,162.91666666666666,10.536465395480233,130891049796.879,44622518.0,39196664,67000,456000
95,Togo,3.999,214.99583333333337,26.973050847457625,7112200725.00232,7889095.0,2797212,0,815854
96,Guinea,3.964,203.33333333333334,26.18985875706213,11857030336.5252,12414292.0,819087,0,8702832
97,Angola,3.795,195.0,22.549435028248567,101353230784.594,30809787.0,17034849,0,198750
98,Madagascar,3.774,238.70277777777778,18.133220338983044,13760033096.5122,26262313.0,12031782,308,1123633
99,Zimbabwe,3.692,255.44999999999996,19.618488700564967,18115543790.7855,14438812.0,9961179,11326,130448
100,Afghanistan,3.632,264.59166666666664,18.357438794726935,18053228578.8878,37171922.0,7287,0,26880000
101,Botswana,3.59,285.5472222222223,21.213418079096034,16914245098.0392,2254067.0,1250799,0,49529
102,Malawi,3.587,232.98333333333332,21.51920903954803,9880675785.93057,18143215.0,10452600,278,2110934
103,Tanzania,3.303,253.1541666666667,22.961732580037673,57003713610.7625,56313444.0,20574501,0,15505201
104,Central African Republic,3.083,212.20833333333334,26.27316384180791,2220978978.17342,4666375.0,2215305,0,675397
105,Burundi,2.905,197.78333333333333,20.82134180790959,2668495742.88443,11175379.0,7641386,0,214879
